"Name","FileNames","MinVolume","MaxVolume","MinPitch","MaxPitch","Priority","MaximumByType","MaxRepeatMs","Loop","PlayVariationsInSequence","PlayVariationsInSequenceManualReset","StartDelayMinMs","StartDelayMaxMs","PlayOnlyWhenInView","MaxVolumeScaleLimit","NoSoundScaleLimit","PadEmpyToEndMs"
"string","string","int","int","int","int","int","int","int","boolean","boolean","boolean","int","int","boolean","int","int","int"
"60sec_warn_01","sfx/60_sec_warn_02_v2.wav",80,80,100,100,1,1,,,,,,,,,,
"30sec_warn_01","sfx/60_sec_warn_02_v2.wav",90,90,119,119,1,1,,,,,,,,,,
"ScrollAmb01","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Menu swipe","sfx/menu_swipe_09.wav",30,30,98,102,1,2,,,,,,,,,,
"Menu updown swipe","sfx/up_down_swipe_01.wav",25,28,97,103,1,1,,,,,,,,,,
"Countdown_10","sfx/10_cd_02.wav",84,84,100,100,1,3,,,,,,,,,,
"Countdown_9","sfx/9_cd_02.wav",86,86,100,100,1,3,,,,,,,,,,
"Countdown_8","sfx/8_cd_02.wav",88,88,100,100,1,3,,,,,,,,,,
"Countdown_7","sfx/7_cd_02.wav",90,90,100,100,1,3,,,,,,,,,,
"Countdown_6","sfx/6_cd_02.wav",92,92,100,100,1,3,,,,,,,,,,
"Countdown_5","sfx/5_cd_02.wav",94,94,100,100,1,3,,,,,,,,,,
"Countdown_4","sfx/4_cd_02.wav",96,96,100,100,1,3,,,,,,,,,,
"Countdown_3","sfx/3_cd_02.wav",100,100,100,100,1,3,,,,,,,,,,
"Countdown_2","sfx/2_cd_02.wav",100,100,100,100,1,3,,,,,,,,,,
"Countdown_1","sfx/1_cd_02.wav",100,100,100,100,1,3,,,,,,,,,,
"ButtonClick","sfx/button_click_02.wav",60,60,100,100,1,3,,,,,,,,,,
"ButtonClick2","sfx/menu_click_06.wav",50,50,100,100,1,3,,,,,,,,,,
"AttackButton","sfx/attack_button_01.wav",60,60,100,100,1,3,,,,,,,,,,
"SpellCasting","sfx/spellcast01.wav",30,35,96,104,1,2,,,,,,,,,,
"CharacterDeploy","sfx/dummy_01.wav",1,1,98,102,3,1,,,,,,,,,,
"Arrow fire","sfx/archer_queen_attack_02.wav",45,50,98,102,1,3,,,,,,,,,,
"Fire ball","sfx/fire_ball_02.wav",50,60,98,102,1,3,,,,,,,,,,
"Fire ball explo","sfx/fire_ball_explo_02.wav",50,60,97,103,1,2,,,,,,,,,,
"Arrow volley hit","sfx/arrow_norm_impact_06.wav",55,60,95,105,2,1,,,,,,,,,,
"Spell available","sfx/card_ready_02.wav",40,40,100,100,1,1,,,,,,,,,,
